weapon_id,weapon_name,class_id,type,grade,atk_mod,atk_spd,range_m,weight,basic_attack,trait,trait_rules,notes
W_THF_002,无踪,THF,dagger,special,0,1.05,1.6,light,3段短剑·匕首模组,潜行移速 60% → 70%,潜行(THF_T1_001):移速 60%→70%,GDD §16.18
W_THF_003,暗手,THF,dagger,masterwork,0,1.05,1.6,light,3段短剑·匕首模组,暗影陷阱瞬移后 0.5s 内攻击附带【破霸体】,暗影陷阱(THF_T3_002):瞬移后0.5s内攻击附带破霸体,GDD §16.18；原「瞬移后0.5s内伤害+15%」违反 D12 已规则化改写（变更记录 #6）
W_NJA_001,影切·忍刀,NJA,katana,standard,0,1.05,1.8,medium,4段忍刀（NJA_BAS_001–004）,-,-,GDD §16.19；原名「影 cutting·忍刀」为抓取噪声已正名为「影切·忍刀」（validation-report 变更记录 #7）；忍刀=刀+鞘（原著）
W_NJA_002,双鞘忍刀,NJA,katana,special,0,1.02,1.8,medium,4段忍刀（NJA_BAS_001–004）,空蝉双杀刀鞘分袭判定 +30°,忍法·空蝉双杀(NJA_T2_004):角度 160°→190°,GDD §16.19
W_NJA_003,樱吹雪,NJA,katana,masterwork,0,1.00,1.8,medium,4段忍刀（NJA_BAS_001–004）,结印速度 +20%（结印时间 −20%）,结印:时间 ×0.8,GDD §16.19；时间参数规则级
W_WRK_001,禁书典杖,WRK,staff,standard,0,0.92,20.0,light,单段暗影弹（WRK_BAS_001）,-,-,GDD §16.20
W_WRK_002,咒典,WRK,staff,special,0,0.90,20.0,light,单段暗影弹（WRK_BAS_001）,诅咒之箭蓄力箭数上限 26 → 30,诅咒之箭(WRK_T1_001):满蓄箭数 26→30,GDD §16.20
W_WRK_003,长夜,WRK,staff,masterwork,0,0.90,20.0,light,单段暗影弹（WRK_BAS_001）,六星光牢 3.5s → 4.0s,六星光牢(WRK_U_001):持续 3.5s→4.0s,GDD §16.20
W_PRI_001,白蜡杖,PRI,scepter,standard,0,0.95,16.0,light,单段圣光弹（PRI_BAS_001）,-,-,GDD §16.21
W_PRI_002,圣愈之杖,PRI,scepter,special,0,0.92,16.0,light,单段圣光弹（PRI_BAS_001）,治疗术（无CD版）吟唱 24f → 20f,治疗术(PRI_T1_002):startup 24f→20f,GDD §16.21；GDD 原文 0.8s→0.7s 与 skills.csv 24f 不一致 → 已按 CSV 口径改写（GDD-GAP 同步）
W_PRI_003,晨祷,PRI,scepter,masterwork,0,0.95,16.0,light,单段圣光弹（PRI_BAS_001）,净化 CD 12s → 10s,净化(PRI_T2_005):cd 12→10,GDD §16.21
W_GAN_001,白羽杖,GAN,scepter,standard,0,0.95,2.2,light,2段权杖击（GAN_BAS_001–002）,-,-,GDD §16.22；权杖+圣盾（圣盾为技能层 §14.22）
W_GAN_002,坚盾套装,GAN,shield_sword,special,0,0.88,2.2,heavy,2段权杖击·持盾模组（格挡姿态）,圣盾术持续 4s → 4.5s,圣盾术(GAN_T2_001):持续 4s→4.5s,GDD §16.22
W_GAN_003,圣佑,GAN,scepter,masterwork,0,0.92,2.2,light,2段权杖击（GAN_BAS_001–002）,恢复术回复间隔 3s → 2.5s,恢复术(GAN_T1_002):回复间隔 3s→2.5s,GDD §16.22；原「每跳200→250」违反 D12 已规则化改写（变更记录 #8）
W_KNI_001,鸢盾剑,KNI,shield_sword,standard,0,0.90,2.0,heavy,3段剑盾（KNI_BAS_001–003）,-,-,GDD §16.23
W_KNI_002,重盾套装,KNI,shield_sword,special,0,0.85,2.0,heavy,3段剑盾·重盾模组,盾墙持续 6s → 7s,盾墙(KNI_T2_005):持续 6s→7s,GDD §16.23；原「盾墙减伤85%→88%」违反 D12 已规则化改写（变更记录 #9）
W_KNI_003,誓约,KNI,shield_sword,masterwork,0,0.88,2.0,heavy,3段剑盾（KNI_BAS_001–003）,风暴反击持续 10s → 12s,风暴反击(KNI_T3_005):持续 10s→12s,GDD §16.23；原「反弹比例+10%」违反 D12 已规则化改写（变更记录 #10）
W_EXO_001,幽镰,EXO,scythe,standard,0,0.95,2.8,medium,4段战镰（EXO_BAS_001–004）,-,-,GDD §16.24；战镰（原著明示）
W_EXO_002,回旋镰,EXO,scythe,special,0,1.00,2.8,medium,4段战镰（EXO_BAS_001–004）,魂御投掷弹速 +20%,魂御(EXO_T2_007):弹速 25m/s→30m/s,GDD §16.24
W_EXO_003,镇魂,EXO,scythe,masterwork,0,0.92,2.8,medium,4段战镰（EXO_BAS_001–004）,魂御抓回抓取判定半径 +0.3m,魂御(EXO_T2_007):抓回抓取半径 +0.3m,GDD §16.24
W_UNS_001,万象伞,UNS,umbrella,masterwork,-,0.95, -,medium,六形态独立普攻模组（UNS_BAS_001–006）,形态切换即其特性（无精工词条）,形态切换:六形态独立普攻模组(UNS_BAS_001~006):随形态攻速 0.95–1.10,GDD §16.25；散人唯一武器不可更换（D13/D14）；range_m 随形态 1.8–25m 波动故留空
